make,model,component,times,first_seen,last_seen,campaigns
DODGE,DURANGO,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,20V191000,24V436000,"20V191000; 24V436000"
DODGE,DURANGO,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE",2,22V426000,24V838000,"22V426000; 24V838000"
DODGE,DURANGO,STRUCTURE:BODY:HATCHBACK/LIFTGATE,2,23V115000,26V528000,"23V115000; 26V528000"
DODGE,JOURNEY,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,18V398000,25V552000,"18V398000; 25V552000"
DUCATI,"PANIGALE V4","ENGINE AND ENGINE COOLING:ENGINE",2,18V834000,18V854000,"18V834000; 18V854000"
DUCATI,"PANIGALE V4","FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY:FILLER PIPE AND CAP",2,18V238000,19V382000,"18V238000; 19V382000"
FORD,BRONCO,"AIR BAGS:FRONTAL",2,21V770000,25V396000,"21V770000; 25V396000"
FORD,BRONCO,VISIBILITY:WINDSHIELD,2,22V451000,25V683000,"22V451000; 25V683000"
FORD,BRONCO,"POWER TRAIN:AUTOMATIC TRANSMISSION",2,23V070000,26V236000,"23V070000; 26V236000"
FORD,BRONCO,"ENGINE AND ENGINE COOLING:ENGINE:HARD PARTS INTERNAL/MECHANICAL",2,24V635000,26V343000,"24V635000; 26V343000"
FORD,BRONCO,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,25V455000,25V597000,"25V455000; 25V597000"
FORD,BRONCO,"BACK OVER PREVENTION:SOFTWARE",2,25V315000,26V124000,"25V315000; 26V124000"
FORD,EDGE,"POWER TRAIN:AUTOMATIC TRANSMISSION:TORQUE CONVERTER",2,17V427000,18V390000,"17V427000; 18V390000"
FORD,EDGE,"SEAT BELTS:PRETENSIONER",2,19V766000,21V377000,"19V766000; 21V377000"
FORD,EDGE,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,20V575000,25V572000,"20V575000; 25V572000"
FORD,EXPLORER,"PARKING BRAKE",2,15V464000,19V575000,"15V464000; 19V575000"
FORD,EXPLORER,"SEATS:FRONT ASSEMBLY:RECLINER",2,16V475000,17V332000,"16V475000; 17V332000"
FORD,EXPLORER,SEATS,2,17V767000,19V651000,"17V767000; 19V651000"
FORD,EXPLORER,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",2,19V859000,22V685000,"19V859000; 22V685000"
FORD,EXPLORER,"BACK OVER PREVENTION:DISPLAY FUNCTION",2,23V305000,23V686000,"23V305000; 23V686000"
FORD,EXPLORER,"EQUIPMENT:ELECTRICAL:ENGINE BLOCK HEATER",2,25V685000,26V012000,"25V685000; 26V012000"
FORD,EXPLORER,"SEAT BELTS",2,25V093000,26V159000,"25V093000; 26V159000"
FORD,EXPLORER,"STRUCTURE:FRAME AND MEMBERS",2,25V020000,25V316000,"25V020000; 25V316000"
FORD,F-150,"SEATS:FRONT ASSEMBLY:RECLINER",2,16V475000,17V332000,"16V475000; 17V332000"
FORD,F-150,SEATS,2,17V599000,17V767000,"17V599000; 17V767000"
FORD,F-150,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,2,17V331000,17V652000,"17V331000; 17V652000"
FORD,F-150,"POWER TRAIN:AUTOMATIC TRANSMISSION:GEAR POSITION INDICATION (PRNDL)",2,18V214000,20V197000,"18V214000; 20V197000"
FORD,F-150,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,18V392000,25V455000,"18V392000; 25V455000"
FORD,F-150,"EXTERIOR LIGHTING:HEADLIGHTS",2,20V097000,26V373000,"20V097000; 26V373000"
