mfg,raw,spellings,slug,recalls,units,median,p90,worst,same_day,over_30,over_90,early,rank
"Tiffin Motorhomes","Tiffin Motorhomes, Inc.",2,tiffin-motorhomes,82,138748,34,62,245,0,38,3,8,90
"KTM North America","KTM North America, Inc.",2,ktm-north-america,31,110980,34,110,419,1,20,4,1,91
"Turtle Top","Turtle Top",2,turtle-top,23,4725,34,58,70,0,16,0,0,92
"Alliance RV","Alliance RV, LLC",1,alliance-rv,16,18138,34,47,76,0,9,0,0,93
"Lion Electric","Lion Electric Company",1,lion-electric,17,1076,33,55,57,0,8,0,1,94
"Subaru of America","Subaru of America, Inc.",2,subaru-of-america,110,11604557,32,87,460,0,58,11,3,95
"Highland Ridge RV","Highland Ridge RV",1,highland-ridge-rv,32,24864,32,56,70,0,17,0,0,96
"Cruiser RV","Cruiser RV",2,cruiser-rv,26,45957,32,54,62,1,13,0,0,97
"Heartland Recreational Vehicles","Heartland Recreational Vehicles, LLC",2,heartland-recreational-vehicles,73,108918,31,55,111,1,38,1,0,98
"Starcraft RV","Starcraft RV",3,starcraft-rv,57,37727,31,55,94,0,31,1,0,99
"STARCRAFT BUS","STARCRAFT BUS",2,starcraft-bus,20,15307,31,89,144,1,10,2,1,100
"Pierce Manufacturing","Pierce Manufacturing",2,pierce-manufacturing,71,34706,30.5,77,1100,0,34,6,3,101
Oshkosh,"Oshkosh Corporation",2,oshkosh,35,16042,30.5,52,58,0,17,0,1,102
"Gulf Stream Coach","Gulf Stream Coach, Inc.",2,gulf-stream-coach,34,59830,29.5,57,154,0,17,2,0,103
"Suzuki Motor of America","Suzuki Motor of America, Inc.",1,suzuki-motor-of-america,34,941335,29.5,259,911,0,17,8,0,104
"VOLKSWAGEN OF AMERICA","VOLKSWAGEN OF AMERICA, INC",2,volkswagen-of-america,27,1051657,29.5,83,127,0,12,2,1,105
"Braun Ambulances","Braun Ambulances",1,braun-ambulances,16,3934,29.5,52,58,0,8,0,0,106
"Indian Motorcycle","Indian Motorcycle Company",2,indian-motorcycle,32,211076,29,51,336,0,15,3,0,107
"FLEETWOOD RV","FLEETWOOD RV, INC.",2,fleetwood-rv,22,4373,29,58,129,0,10,1,0,108
Lakota,"Lakota Corporation",1,lakota,17,2404,29,49,79,0,7,0,1,109
"VOLVO CARS OF N.A","VOLVO CARS OF N.A. LLC.",2,volvo-cars-of-n-a,26,157142,28.5,46,190,0,11,1,0,110
"Halcore Group","Halcore Group, Inc.",1,halcore-group,28,6859,28,60,65,1,12,0,0,111
"Entegra Coach","Entegra Coach",2,entegra-coach,48,10903,27,52,60,0,17,0,7,112
