reference,launched,make,models,concern,vehicles,rewrites_caught,page
R/2026/285,2026-07-03,Vauxhall,Movano,"Movano software - turn signal detection.",2310,0,https://carsmultiverse.com/uk-recall/r-2026-285/
R/2026/261,2026-07-03,Ford,"Transit Custom","26S33 – Transit Custom – Seatbelt fraying",1298,0,https://carsmultiverse.com/uk-recall/r-2026-261/
R/2026/256,2026-07-03,Peugeot,"3008 V3 and 5008 V3","Wrong Tire Class in CoC",411,0,https://carsmultiverse.com/uk-recall/r-2026-256/
R/2026/250,2026-07-03,Mini,"Minie 3DR Hatchback and Mini Aceman","Check the Interior Mirror Holder Replace if Necessary",320,0,https://carsmultiverse.com/uk-recall/r-2026-250/
R/2026/262,2026-07-01,Bmw,"2 Series Coupe","Reworking the PVC Seam in the Rear Light Housing",28,0,https://carsmultiverse.com/uk-recall/r-2026-262/
R/2026/268,2026-06-30,Ford,"Kuga, Transit Custom, Transit Courier and 2 more","Multi Vehicle Line: Unintended High Beam Behaviour - Compliance",14599,0,https://carsmultiverse.com/uk-recall/r-2026-268/
R/2026/273,2026-06-26,Jaguar,F-Pace,"AJ20-D6 Idler Pulley Clash",272,0,https://carsmultiverse.com/uk-recall/r-2026-273/
R/2026/259,2026-06-26,"Bailey Of Bristol","Autograph IV 794F, Endeavour B65 (ER1), Adamo Xl-Dl and 5 more","ISOFIX connection system for rear seats of motorhomes and camper vans",401,0,https://carsmultiverse.com/uk-recall/r-2026-259/
R/2026/258,2026-06-26,Ford,"Transit Custom and Tourneo Custom","26S37 – Transit and Transit Custom – Wiper Motor",49464,0,https://carsmultiverse.com/uk-recall/r-2026-258/
R/2026/241,2026-06-26,"Land Rover","Defender, Discovery, Range Rover and 2 more","AJ20-D6 Idler Pulley Clash",51533,0,https://carsmultiverse.com/uk-recall/r-2026-241/
R/2026/138,2026-06-26,Jeep,Cherokee,"Two speed power transfer unit failure. Loss of power.",43,0,https://carsmultiverse.com/uk-recall/r-2026-138/
R/2026/291,2026-06-24,"Volvo Trucks","FH and FM","M0410 EMS ECM SW Update FH FM 4",8645,0,https://carsmultiverse.com/uk-recall/r-2026-291/
