uk_reference,uk_launched,make,models,manufacturer_code,us_campaign,us_filed,days_uk_to_us,canada_recall,canada_date,eu_alerts,page
R/2026/345,2026-09-04,Ford,Mustang,26C32,26V418,2026-06-30,-66,2026319,2026-06-30,0,https://carsmultiverse.com/uk-recall/r-2026-345/
R/2026/236,2026-09-01,"Adria Concessionaires","Twin 640 SPX, Compact SC, Compact SP and 20 more",165ISOFIX,,,,,,3,https://carsmultiverse.com/uk-recall/r-2026-236/
R/2026/289,2026-08-31,Ford,Ranger,26S35,26V343,2026-05-27,-96,2026258,2026-05-27,1,https://carsmultiverse.com/uk-recall/r-2026-289/
R/2026/160,2026-08-27,Ford,"Kuga and Ranger",26S10,26V122,2026-03-03,-177,2026094,2026-03-03,0,https://carsmultiverse.com/uk-recall/r-2026-160/
R/2026/341,2026-08-26,"Laika Caravans S.P.A.","Kreos H 5109",REC2601,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-341/
R/2026/328,2026-08-13,"Husqvarna Motorcycles","FE 501, FE 250, FE 250 Heritage and 13 more",132698518,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-328/
R/2026/253,2026-08-03,Kia,PV5,261105261106261107,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-253/
R/2025/369,2026-07-31,Ford,Mustang,25S75,25V455,2025-07-07,-389,2025366,2025-07-08,0,https://carsmultiverse.com/uk-recall/r-2025-369/
R/2026/300,2026-07-20,"Aston Martin","Valkyrie Coupe and Valkyrie Spider",RA062062,26V359,2026-06-03,-47,,,0,https://carsmultiverse.com/uk-recall/r-2026-300/
R/2026/290,2026-07-14,"Nissan (Gb)",Qashqai,PG5CA,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-290/
R/2026/233,2026-07-13,"Bmw Motorrad",K17,0000612800,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-233/
R/2026/207,2026-07-13,Kia,K4,261M20,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-207/
R/2026/272,2026-07-13,"Volvo Car",XC40,R10388,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-272/
R/2026/265,2026-07-10,"Nissan (Gb)",X-Trail,R26A5,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-265/
R/2026/261,2026-07-03,Ford,"Transit Custom",26S33,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-261/
R/2026/291,2026-06-24,"Volvo Trucks","FH and FM",M0410,,,,2023346,2023-06-14,0,https://carsmultiverse.com/uk-recall/r-2026-291/
R/2026/221,2026-06-19,Mercedes-Benz,GLE,9190322,,,,2026266,2026-06-01,0,https://carsmultiverse.com/uk-recall/r-2026-221/
R/2026/159,2026-06-15,Hyundai,"Ioniq AE EV",61D018,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-159/
R/2025/553,2026-06-12,"Land Rover","Discovery Sport, Range Rover Evoque, Defender and 1 more",D080D122,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-553/
R/2026/213,2026-05-28,Ford,"Edge, Mustang and Transit Connect",25S89,25V572,2025-04-09,-414,2025449,2025-09-03,0,https://carsmultiverse.com/uk-recall/r-2026-213/
R/2026/140,2026-05-15,Mercedes-Benz,G-Class,4090108,,,,2026148,2026-03-27,1,https://carsmultiverse.com/uk-recall/r-2026-140/
R/2026/210,2026-05-11,Ford,"Tourneo Custom and Transit Custom",26S31,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-210/
R/2026/174,2026-05-08,Ford,Ranger,25S19,25V164,2025-03-14,-420,2025132,2025-03-14,0,https://carsmultiverse.com/uk-recall/r-2026-174/
R/2026/119,2026-05-06,"Aston Martin","DBX, DBX707 and DBX S",RA412086,26V200,2026-03-29,-38,2026156,2026-03-31,1,https://carsmultiverse.com/uk-recall/r-2026-119/
R/2026/128,2026-05-04,Hyundai,"Kona OS EV",61D004,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-128/
R/2026/117,2026-04-29,"Honda Motorcycles","CL500AP, CL500AS, CMX500A2P and 5 more",3S43RY,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-117/
R/2026/187,2026-04-17,"Renault Trucks","D Range",C0544,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-187/
R/2026/149,2026-04-13,Ford,Mustang,25SA7,25E068,2025-10-10,-185,2025549,2025-10-11,0,https://carsmultiverse.com/uk-recall/r-2026-149/
R/2026/031,2026-04-07,Ford,E-Transit,25SD9,25V860,2025-12-12,-116,2025689,2025-12-12,0,https://carsmultiverse.com/uk-recall/r-2026-031/
R/2026/093,2026-04-06,Hyundai,I10,61DT01,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-093/
R/2026/145,2026-04-06,"Bmw Motorrad","S1000R, R1300R / RT, F900R / GS and 5 more",0000612600,,,,2026092,2026-03-03,0,https://carsmultiverse.com/uk-recall/r-2026-145/
R/2026/095,2026-04-01,"Nissan (Gb)",NV400,PN6C2,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-095/
R/2026/137,2026-03-26,Ford,Transit,26S20,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-137/
R/2026/105,2026-03-23,Rolls-Royce,"Cullinan and Black Badge Cullinan",0072970200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-105/
R/2026/092,2026-03-17,Bmw,"5 Series Saloon, 5 Series Touring, 7 Series Saloon and 3 more",00615109000061520900,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-092/
R/2026/100,2026-03-13,Ford,"Tourneo Courier and Transit Courier",26S16,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-100/
R/2026/081,2026-03-06,"Man Truck And Bus",TGX,9040TR,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-081/
R/2026/054,2026-03-02,Bmw,"X3, X4, X5 and 9 more",0012650600,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-054/
R/2026/032,2026-02-27,Ford,Transit,25SC5,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-032/
R/2026/082,2026-02-24,Ford,"Capri and Explorer",26S06,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-082/
R/2026/077,2026-02-20,"Triumph Motorcycles","Bonneville T100, Bonneville T120, Bonneville T120 Black and 7 more",SRAN641,,,,2026058,2026-02-13,1,https://carsmultiverse.com/uk-recall/r-2026-077/
R/2026/066,2026-02-12,"Zf Cvs Turkey","Lemförder Steering ROD Assemblies",TJU253351,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-066/
R/2026/043,2026-02-10,"Volvo Car",EX30,R10357,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-043/
R/2025/464,2026-01-19,Genesis,GV60,51D152,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-464/
R/2025/534,2026-01-19,Mercedes-Benz,E-Class,5491322,,,,2025687,2025-12-12,0,https://carsmultiverse.com/uk-recall/r-2025-534/
R/2026/010,2026-01-09,"Renault Trucks","T High",C0500,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-010/
R/2025/533,2026-01-06,Mercedes-Benz,CLA,9190024,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-533/
R/2025/556,2026-01-05,Mercedes-Benz,CLA,1595005,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-556/
R/2025/561,2025-12-31,"Renault Trucks","Master VAN III",M0378,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-561/
R/2025/558,2025-12-30,"Renault Trucks",Master,C0515,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-558/
R/2025/548,2025-12-19,Ducati,"Panigale V2 and Streetfighter V2",CR310,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-548/
R/2025/539,2025-12-18,Ktm,"390 Adventure R, 390 Enduro R and 690 Smc-R",032599896,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-539/
R/2025/531,2025-12-15,Kawasaki,ZX636JR/JS/JT,DAM37,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-531/
R/2025/459,2025-12-10,Mercedes-Benz,CLA,9190319,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-459/
R/2025/460,2025-12-10,Mercedes-Benz,CLA,9193004,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-460/
R/2025/462,2025-12-10,Mercedes-Benz,CLA,9192113,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-462/
R/2025/535,2025-12-09,Bmw,X3,0032840300,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-535/
R/2025/530,2025-12-09,Ford,Mustang,25S92,25V614,2025-12-09,0,2025484,2025-09-12,1,https://carsmultiverse.com/uk-recall/r-2025-530/
R/2025/493,2025-12-08,Ford,Mustang,25C55,25V689,2025-10-10,-59,2025703,2025-12-18,0,https://carsmultiverse.com/uk-recall/r-2025-493/
R/2025/517,2025-12-03,"Volvo Car",XC90,R10345,25V818,2025-11-25,-8,,,0,https://carsmultiverse.com/uk-recall/r-2025-517/
R/2025/524,2025-12-02,Ford,E-Transit,25S99,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-524/
R/2025/484,2025-12-01,Subaru,Solterra,SRT374,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-484/
R/2025/270,2025-11-24,"Toyota (Gb)","C-HR, C-HR Plug IN, Corolla and 7 more",25SD063,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-270/
R/2025/275,2025-11-24,Lexus,"LBX, LM, LS500H and 1 more",25SD063,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-275/
R/2025/495,2025-11-24,Ford,"Puma Gen-E and E-Transit Courier",25SB1,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-495/
R/2025/504,2025-11-21,Ford,"Transit Courier",25SC2,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-504/
R/2025/483,2025-11-18,"Husqvarna Motorcycles","Svartpilen 125, Svartpilen 401, Vitpilen 125 and 1 more",072582998,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-483/
R/2025/446,2025-11-18,Ktm,"125 Duke, 390 Duke and 990 Duke",072582997,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-446/
R/2025/456,2025-11-17,Hyundai,I30,51D160,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-456/
R/2025/457,2025-11-17,Hyundai,"Ioniq 6",51D295,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-457/
R/2025/527,2025-11-04,Ford,Kuga,25SC4,26V091,2026-02-17,105,2025628,2025-11-14,1,https://carsmultiverse.com/uk-recall/r-2025-527/
R/2025/442,2025-11-03,Mazda,MX5,AS025A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-442/
R/2025/421,2025-11-03,Ford,"Transit Custom",25S93,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-421/
R/2025/425,2025-10-31,"Volvo Car",EX90,R10342,25V654,2025-09-30,-31,2025520,2025-09-30,1,https://carsmultiverse.com/uk-recall/r-2025-425/
R/2025/444,2025-10-23,Mini,Countryman,007287020000728802000072890200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-444/
R/2026/118,2025-10-23,"Burstner Gmbh & Kg","Elegance, Lyseo TD, Campeo TD and 3 more",202511,,,,,,1,https://carsmultiverse.com/uk-recall/r-2026-118/
R/2025/422,2025-10-16,Tesla,"Model Y",SB2517011,25V658,2025-01-10,-279,2025526,2025-10-02,0,https://carsmultiverse.com/uk-recall/r-2025-422/
R/2025/433,2025-10-15,Ford,Ranger,25S98,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-433/
R/2025/386,2025-10-06,"Volvo Car",V60,R10340,25V589,2025-09-10,-26,2025471,2025-09-11,1,https://carsmultiverse.com/uk-recall/r-2025-386/
R/2025/368,2025-10-06,"Nissan (Gb)",Townstar,PN5CD,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-368/
R/2025/323,2025-10-06,Bmw,"3 Series",0072760200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-323/
R/2025/423,2025-10-01,Ford,Mustang,25C43,25V546,2025-08-22,-40,2025434,2025-08-22,0,https://carsmultiverse.com/uk-recall/r-2025-423/
R/2025/273,2025-09-29,Hyundai,I10,51DT09,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-273/
R/2025/401,2025-09-25,"New Holland","T6.155, T6.160, T6.175 and 7 more",NA5225,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-401/
R/2025/403,2025-09-25,"Case Ih","Maxxum 145, Maxxum 150, Puma 150 and 3 more",CA5225,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-403/
R/2025/361,2025-09-24,Ford,"Transit, Focus, Transit Courier and 4 more",25S49,25V315,2025-09-05,-19,2025260,2025-05-09,0,https://carsmultiverse.com/uk-recall/r-2025-361/
R/2025/400,2025-09-22,Ford,"Transit Custom",25S85,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-400/
R/2025/411,2025-09-19,Lamborghini,"Urus SE",L636R0125,,,,2025504,2025-09-24,1,https://carsmultiverse.com/uk-recall/r-2025-411/
R/2025/367,2025-09-17,"Nissan (Gb)",Townstar,PN4C9,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-367/
R/2025/341,2025-09-15,Ford,Kuga,25S61,25V372,2025-03-06,-193,2025306,2025-06-03,1,https://carsmultiverse.com/uk-recall/r-2025-341/
R/2025/370,2025-09-15,"Nissan (Gb)",Interstar,PN5CC,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-370/
R/2025/272,2025-09-08,Hyundai,I20,51DT07,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-272/
R/2025/359,2025-09-08,Ford,"Kuga, Transit, Mondeo and 12 more",25S72,25V442,2025-06-27,-73,2025360,2025-06-27,0,https://carsmultiverse.com/uk-recall/r-2025-359/
R/2025/293,2025-09-03,Ford,"Mustang Mach-E",25S65,25V404,2025-06-13,-82,2025326,2025-06-13,0,https://carsmultiverse.com/uk-recall/r-2025-293/
R/2025/343,2025-08-28,"Aston Martin",Vanquish,RA062074,25V532,2025-08-20,-8,2025427,2025-08-21,1,https://carsmultiverse.com/uk-recall/r-2025-343/
R/2025/356,2025-08-27,"Triumph Motorcycles","Daytona 660",SRAN640,,,,2025426,2025-08-19,1,https://carsmultiverse.com/uk-recall/r-2025-356/
R/2025/244,2025-08-20,"Volvo Trucks","FHE, FME and Fmle",C0472,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-244/
R/2025/315,2025-08-20,"Toyota (Gb)","Proace, Proace Verso and Proace City",CI25027,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-315/
R/2025/326,2025-08-15,Ford,Ranger,25S77,25V488,2025-07-25,-21,2025392,2025-07-25,1,https://carsmultiverse.com/uk-recall/r-2025-326/
R/2025/291,2025-08-11,Lamborghini,Revuelto,L74XR0125,,,,2025388,2025-07-23,1,https://carsmultiverse.com/uk-recall/r-2025-291/
R/2025/289,2025-07-29,Ford,"Transit Custom and Tourneo Custom",25S58,25V349,2025-05-23,-67,,,1,https://carsmultiverse.com/uk-recall/r-2025-289/
R/2025/266,2025-07-18,Ford,"Transit Custom",25S51,25V439,2025-06-27,-21,2025358,2025-05-27,1,https://carsmultiverse.com/uk-recall/r-2025-266/
R/2026/143,2025-07-15,"Zero Motorcycles","DS, DSR and Dsr-X",SVRCL025017,26V048,2026-01-28,197,2025377,2025-07-15,1,https://carsmultiverse.com/uk-recall/r-2026-143/
R/2025/249,2025-07-07,Kawasaki,ZX636J,DAM08,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-249/
R/2025/243,2025-07-07,Ford,"Galaxy, S-Max and Kuga",25S54,25V345,2025-05-23,-45,2025283,2025-05-23,0,https://carsmultiverse.com/uk-recall/r-2025-243/
R/2025/242,2025-07-04,Ford,Explorer,25S69,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-242/
R/2025/251,2025-07-04,"Polestar Automotive",PS3,RP1063,25V453,2025-07-07,3,2025364,2025-07-07,1,https://carsmultiverse.com/uk-recall/r-2025-251/
R/2025/232,2025-06-26,"Renault Trucks","D Wide and D E Tech",C0456,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-232/
R/2025/211,2025-06-23,"Volvo Car","XC60, XC90, V60 and 4 more",R10329,25V392,2025-06-12,-11,2025319,2025-06-12,1,https://carsmultiverse.com/uk-recall/r-2025-211/
R/2025/212,2025-06-23,"Polestar Automotive",PS2,RP1061,25V409,2025-02-07,-136,2025333,2025-06-17,1,https://carsmultiverse.com/uk-recall/r-2025-212/
R/2025/213,2025-06-13,Mercedes-Benz,"AMG ONE",8892108,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-213/
R/2025/198,2025-06-07,Polaris,"Ranger XP Kinetic",R2501,,,,2025124,2025-03-11,0,https://carsmultiverse.com/uk-recall/r-2025-198/
R/2025/197,2025-06-05,Ford,"Tourneo Connect",25S34,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-197/
R/2025/188,2025-05-28,Ford,"Transit Custom",25C10,25V237,2025-04-11,-47,2025200,2025-04-11,0,https://carsmultiverse.com/uk-recall/r-2025-188/
R/2025/154,2025-05-20,"Niesmann+Bischoff Gmbh",Ismove,202501,,,,,,3,https://carsmultiverse.com/uk-recall/r-2025-154/
R/2025/169,2025-05-15,"Bmw Motorrad","M1000R and M1000XR",0000321400,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-169/
R/2025/163,2025-05-09,Ford,Kuga,25S21,25V165,2025-03-14,-56,2025134,2025-03-14,0,https://carsmultiverse.com/uk-recall/r-2025-163/
R/2025/155,2025-05-08,Mercedes-Benz,E-Class,5491321,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-155/
R/2025/158,2025-05-07,Mercedes-Benz,"C Class",9192004,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-158/
R/2025/167,2025-05-07,"Aston Martin","Valkyrie Coupe and Valkyrie Spider",RA182044,25V300,2025-08-05,90,,,1,https://carsmultiverse.com/uk-recall/r-2025-167/
R/2025/165,2025-05-01,Mini,"Mini Hatchback and Mini Aceman",0061160900,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-165/
R/2025/161,2025-04-30,Ford,Mach-E,25S14,25V130,2025-02-28,-61,2025105,2025-03-02,0,https://carsmultiverse.com/uk-recall/r-2025-161/
R/2025/162,2025-04-30,Ford,Kuga,25S16,25V133,2025-02-28,-61,2025108,2025-03-02,0,https://carsmultiverse.com/uk-recall/r-2025-162/
R/2025/106,2025-04-17,Mercedes-Benz,"EQA and EQB",5496605,,,,2025700,2025-12-18,0,https://carsmultiverse.com/uk-recall/r-2025-106/
R/2025/131,2025-04-16,Mercedes-Benz,"CLA and A Class",4290102,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-131/
R/2025/079,2025-04-11,"Mercedes-Benz Vans","Esprinter 907",0890013,,,,2025076,2025-02-14,0,https://carsmultiverse.com/uk-recall/r-2025-079/
R/2025/124,2025-04-03,Mercedes-Benz,"AMG GT, S Class, SL and 1 more",5496242,,,,2025098,2025-02-24,0,https://carsmultiverse.com/uk-recall/r-2025-124/
R/2025/115,2025-04-01,Kia,EV9,251010,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-115/
R/2025/133,2025-03-31,Kawasaki,"Ninja 500 EX500GR",DAL98,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-133/
R/2025/049,2025-03-28,Tesla,"Model 3, Model Y and Model X",SB2500001,25V002,2025-07-01,95,2025002,2025-01-07,0,https://carsmultiverse.com/uk-recall/r-2025-049/
R/2025/117,2025-03-24,"Volvo Car","S60, XC60, XC90 and 3 more",R10312,25V179,2025-03-24,0,2025147,2025-03-20,1,https://carsmultiverse.com/uk-recall/r-2025-117/
R/2025/041,2025-03-24,Hyundai,Iload,41D185,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-041/
R/2025/084,2025-03-19,Ford,"Fiesta, Puma, Transit Courier and 1 more",25S10,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-084/
R/2025/104,2025-03-14,Tesla,"Model 3 and Model Y",SB2500004,25V092,2025-02-14,-28,2025034,2025-01-28,0,https://carsmultiverse.com/uk-recall/r-2025-104/
R/2025/103,2025-03-10,"Renault Trucks","D Wide 6X2 and D Wide 4X2",C0446,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-103/
R/2025/269,2025-03-07,"Meyle Ag","416 050 0005 and 416 050 0005/S",410001829,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-269/
R/2025/083,2025-03-04,Mercedes-Benz,"G Class",2790013,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-083/
R/2025/059,2025-03-02,Kia,Niro,231113,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-059/
R/2025/058,2025-03-02,Kia,"Ceed Phev",240S01,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-058/
R/2025/043,2025-02-28,Mazda,MX5,AS001A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-043/
R/2025/100,2025-02-27,"New Holland","T7.165 S T7.190 T7.210, T7.195 S T7.215 T7.230 T7.245 T7.260, T6.155 T6.160 T6.175 T6.180 and 6 more",NA0925,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-100/
R/2025/101,2025-02-27,"Case Ih","Puma 140 Puma 150 Puma 165, Puma 185 Puma 200 Puma 220, Maxxum 115 Maxxum 125 Maxxum 135 Maxxum 145 Maxxum 150 and 3 more",CA0925,,,,,,2,https://carsmultiverse.com/uk-recall/r-2025-101/
R/2025/027,2025-02-19,Ducati,"Panigale V4",CR285,25V013,2025-01-24,-26,2025030,2025-01-21,0,https://carsmultiverse.com/uk-recall/r-2025-027/
R/2025/040,2025-02-11,"Volvo Car",EX90,R10298,25V071,2025-07-02,141,2025056,2025-02-07,1,https://carsmultiverse.com/uk-recall/r-2025-040/
R/2025/038,2025-02-10,Ford,Mustang,24C35,24V802,2024-10-25,-108,2024645,2024-10-25,0,https://carsmultiverse.com/uk-recall/r-2025-038/
R/2025/035,2025-02-03,"Indian Motorcycle Company",Scout,I2411,24V970,2024-12-23,-42,2024783,2024-12-23,0,https://carsmultiverse.com/uk-recall/r-2025-035/
R/2024/489,2025-01-20,Hyundai,"Tucson NX4E",41DC22,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-489/
R/2024/490,2025-01-20,Hyundai,I10,41DT09,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-490/
R/2025/010,2025-01-16,"Triumph Motorcycles",TF250-X,SRAN628,,,,2025063,2025-02-12,1,https://carsmultiverse.com/uk-recall/r-2025-010/
R/2024/500,2025-01-13,Kia,Sportage,240S33,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-500/
R/2025/002,2024-12-31,Tesla,"Model 3 and Model Y",SB2400018,24V935,2024-12-17,-14,,,0,https://carsmultiverse.com/uk-recall/r-2025-002/
R/2024/511,2024-12-27,"Renault Trucks","D Wide ZE and DZE",C0416,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-511/
R/2024/502,2024-12-23,Mercedes-Benz,E-Class,3594808,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-502/
R/2024/507,2024-12-20,"Polestar Automotive",PS3,RP1043,24V940,2024-12-18,-2,,,0,https://carsmultiverse.com/uk-recall/r-2024-507/
R/2024/508,2024-12-20,"Polestar Automotive",PS2,RP1044,24V939,2024-12-18,-2,,,0,https://carsmultiverse.com/uk-recall/r-2024-508/
R/2024/503,2024-12-19,Ford,"Transit Custom and Tourneo Custom",24S74,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-503/
R/2024/492,2024-12-11,"Bmw Motorrad","M1000RR, M1000XR, S1000R and 3 more",0000112900,,,,2024705,2024-11-19,1,https://carsmultiverse.com/uk-recall/r-2024-492/
R/2025/007,2024-12-10,Ford,"Tourneo Connect and Transit Connect",24S69,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-007/
R/2024/416,2024-12-02,Mitsubishi,"ASX 1.6",R30432,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-416/
R/2024/475,2024-11-29,Mercedes-Benz,"V Class",4692110,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-475/
R/2024/472,2024-11-28,Mazda,CX-60,AR058A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-472/
R/2024/470,2024-11-28,Mazda,CX-60,AR056A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-470/
R/2024/462,2024-11-27,"Volvo Car",EX90,R10292,24V869,2024-11-19,-8,,,0,https://carsmultiverse.com/uk-recall/r-2024-462/
R/2024/400,2024-11-22,Mercedes-Benz,Maybach,5496234,,,,2024530,2024-09-16,1,https://carsmultiverse.com/uk-recall/r-2024-400/
R/2024/398,2024-11-20,Mercedes-Benz,"E-Class and CLE",5496233,,,,2024523,2024-09-13,0,https://carsmultiverse.com/uk-recall/r-2024-398/
R/2024/461,2024-11-20,Bmw,"X3 and X3M",0051070600,,,,,,2,https://carsmultiverse.com/uk-recall/r-2024-461/
R/2024/441,2024-11-18,"Mercedes Benz",GLB,4090102,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-441/
R/2025/037,2024-11-16,"Renault Trucks","D Range",C0405,,,,,,1,https://carsmultiverse.com/uk-recall/r-2025-037/
R/2024/446,2024-11-05,"Volvo Car","S60, V60, S90 and 4 more",R10289,24V788,2024-10-23,-13,2024628,2024-10-23,1,https://carsmultiverse.com/uk-recall/r-2024-446/
R/2024/445,2024-11-04,"Volvo Trucks","FH13B42T, FH13B62T, FH13B82R and 4 more",C0397,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-445/
R/2024/439,2024-11-04,Ford,Ranger,24S68,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-439/
R/2024/391,2024-11-01,Subaru,Outback,SRT351,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-391/
R/2024/405,2024-10-30,"Nissan (Gb)",NV400,PN4C6,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-405/
R/2024/401,2024-10-29,"Nissan (Gb)",NV300,PN4C1,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-401/
R/2024/378,2024-10-28,Hyundai,"Genesis DH",41D078,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-378/
R/2024/307,2024-10-24,Mercedes-Benz,"E-Class, CLS and AMG GT",1595004,,,,2024615,2024-10-18,0,https://carsmultiverse.com/uk-recall/r-2024-307/
R/2024/414,2024-10-24,Bmw,"X5, X7, XM and 6 more",0034940200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-414/
R/2024/415,2024-10-24,Mini,"3 Door Hatch - ICE, Aceman BEV and Countryman",0034950200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-415/
R/2024/421,2024-10-23,"Triumph Motorcycles","Bonneville T100 Black, Bonneville T120 BUD Ekin, Bonneville T100 and 6 more",SRAN627,,,,2024618,2024-10-21,0,https://carsmultiverse.com/uk-recall/r-2024-421/
R/2024/409,2024-10-21,Bmw,"5 Series Saloon, 5 Series Touring, 7 Series Saloon and 1 more",0032660300,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-409/
R/2024/392,2024-10-18,Mercedes-Benz,GLA,4990103,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-392/
R/2024/340,2024-10-14,Hyundai,I800,41D047,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-340/
R/2024/381,2024-10-08,Alpina,XD3,0051960500,,,,,,2,https://carsmultiverse.com/uk-recall/r-2024-381/
R/2024/382,2024-10-08,Polaris,"Ranger XP Kinetic",R2405,,,,2024571,2024-09-27,1,https://carsmultiverse.com/uk-recall/r-2024-382/
