uk_reference,uk_launched,make,models,manufacturer_code,us_campaign,us_filed,days_uk_to_us,canada_recall,canada_date,eu_alerts,page
R/2020/374,2021-01-11,Kia,"Soul SK3 EV",201128,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-374/
R/2021/001,2021-01-07,"Volvo Car","V60, V60CC, XC60 and 3 more",R10068,,,,2021003,2021-01-07,1,https://carsmultiverse.com/uk-recall/r-2021-001/
R/2020/385,2020-12-29,"Scania Truck",Lpgrs,RC201853,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-385/
R/2020/317,2020-12-21,Ford,"Kuga Phev",20S61,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-317/
RSPV/2020/024,2020-12-09,Polaris,"Ranger 1000",R2007,,,,2020616,2020-12-11,1,https://carsmultiverse.com/uk-recall/rspv-2020-024/
R/2020/352,2020-12-07,Bmw,"M4, M2 and M4 Convertible",0013270300,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-352/
R/2021/369,2020-12-04,Lamborghini,Urus,L636R0220,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-369/
RM/2020/047,2020-12-02,Triumph,"Rocket 3 TFC, Rocket 3 GT and Rocket 3 R",SRAN587,,,,2020581,2020-11-30,1,https://carsmultiverse.com/uk-recall/rm-2020-047/
R/2020/364,2020-12-01,"Bugatti Sas","Chiron and Divo",BUGCR032,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-364/
R/2020/347,2020-11-30,Bmw,Z4,0016570200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-347/
R/2020/346,2020-11-26,Bmw,X3,0072210200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-346/
R/2020/316,2020-11-15,Subaru,"XV, Forester and Impreza",SRT284,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-316/
R/2020/315,2020-11-15,Subaru,"XV and Impreza",SRT283,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-315/
R/2020/323,2020-11-11,Vauxhall,"Grandland X",E20200797020C159,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-323/
RM/2020/043,2020-11-05,Kawasaki,"Ninja H2 SX SE (ZX1002B), Ninja H2 SX (ZX1002A) and Ninja H2 SX SE + (ZX1002D)",DAJ43,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2020-043/
R/2020/294,2020-11-02,"Nissan (Gb)","Leaf and NV200",PG0C9PS0C5,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-294/
R/2020/228,2020-10-30,"Mercedes Benz Bus","Intouro, Setra, Tourismo and 1 more",3160M20109A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-228/
R/2020/306,2020-10-30,"Polestar Automotive","Polestar 2",R10055,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-306/
R/2020/013,2020-10-30,Ford,"Galaxy, S-Max and Mondeo",20S32,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-013/
RSPV/2020/023,2020-10-27,Polaris,"General 2 & 4 Seats Model Year 2016-2018",R2005,,,,2020496,2020-10-20,1,https://carsmultiverse.com/uk-recall/rspv-2020-023/
R/2020/299,2020-10-22,Bmw,"Mini Countryman",00615305000061550500,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-299/
R/2020/298,2020-10-22,Bmw,"7 Series, 3 Series, 2 Series and 4 more",00615405000061560500,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-298/
R/2020/227,2020-10-19,"Mercedes Benz Bus","Citaro, Setra, Intouro and 1 more",3200U20110A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-227/
RSPV/2020/021,2020-10-16,"Brp-Can Am",Ryker,20206,,,,,,1,https://carsmultiverse.com/uk-recall/rspv-2020-021/
R/2020/308,2020-10-16,Hyundai,"Kona EV",01D076,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-308/
R/2020/280,2020-10-12,"Aston Martin","DB11, DBS and Vantage",RA011418,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-280/
R/2020/268,2020-10-08,"Man Truck And Bus",TGE,TI7186TR,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-268/
RSPV/2020/022,2020-10-07,Polaris,"RZR PRO XP / PRO XP 4, RZR XP Turbo / XP 4 Turbo and RZR Turbo S / Turbo S 4",Z2007,,,,2020469,2020-10-07,1,https://carsmultiverse.com/uk-recall/rspv-2020-022/
R/2020/289,2020-10-06,"Mercedes Benz Bus","Setra S431DT",8810U20101A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-289/
R/2020/060,2020-10-05,Lexus,"Lexus NX200T, Lexus LS500, Lexus RX450H and 12 more",20SMD004,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-060/
R/2020/019,2020-10-05,"Toyota (Gb)","Celica, Yaris, RAV4 and 1 more",20SMD005,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-019/
R/2020/318,2020-10-05,"Toyota (Gb)",Camry,20SMD004,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-318/
R/2020/279,2020-10-01,"Polestar Automotive","Polestar PS2",R10053,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-279/
R/2020/278,2020-10-01,"Polestar Automotive","Polestar PS2",R10048,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-278/
R/2020/229,2020-09-30,"Mercedes Benz Bus","Capacity, Citaro and Conecto.",3200M20111A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-229/
R/2020/253,2020-09-29,Kia,"Soul EV",201085,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-253/
R/2020/272,2020-09-24,Vauxhall,"Insignia B",E20200696120C135,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-272/
R/2020/275,2020-09-24,Ford,"Transit and Transit Custom",20S53,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-275/
R/2020/269,2020-09-15,"Volvo Car",XC40,R10040,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-269/
R/2020/214,2020-09-09,Ford,Kuga,20S27,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-214/
R/2020/224,2020-09-04,Ford,Kuga,20S38,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-224/
R/2020/223,2020-09-04,Hyundai,"Santa FE",01D025,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-223/
R/2020/140,2020-09-04,Ford,"Transit Connect",20S22,,,,2020204,2020-05-11,1,https://carsmultiverse.com/uk-recall/r-2020-140/
R/2020/248,2020-08-31,Ford,Puma,20S46,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-248/
R/2020/247,2020-08-27,Ford,"Transit and Transit Custom",20S47,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-247/
R/2020/246,2020-08-25,"Volvo Car",XC60,R10044,,,,2020390,2020-08-25,1,https://carsmultiverse.com/uk-recall/r-2020-246/
